"","Symptomatic tests","Border tests 1 and 2","Quarantine- and random tests","deCODE Genetics screening"
"31.08.20","","0,31%","","0,00%"
"01.09.20","","0,77%","","0,00%"
"02.09.20","","0,22%","","0,00%"
"03.09.20","","0,00%","","0,00%"
"04.09.20","","0,34%","","0,00%"
"05.09.20","","0,26%","","0,00%"
"06.09.20","","0,48%","","0,00%"
"07.09.20","","0,12%","","0,00%"
"08.09.20","","0,58%","","0,00%"
"09.09.20","","0,28%","","0,00%"
"10.09.20","","0,11%","","0,00%"
"11.09.20","","0,00%","","0,00%"
"12.09.20","","0,00%","","0,00%"
"13.09.20","","0,34%","","0,00%"
"14.09.20","","0,19%","","0,00%"
"15.09.20","","0,54%","0,00%","0,74%"
"16.09.20","","0,52%","0,00%","0,15%"
"17.09.20","","0,33%","0,22%","0,06%"
"18.09.20","","0,28%","1,81%","0,32%"
"19.09.20","","0,09%","2,99%","0,00%"
"20.09.20","","0,40%","0,00%","0,00%"
"21.09.20","","0,00%","2,26%","0,11%"
"22.09.20","","0,47%","0,46%","0,08%"
"23.09.20","","0,47%","1,42%","0,70%"
"24.09.20","","0,61%","1,31%","0,00%"
"25.09.20","","0,29%","1,12%","0,00%"
"26.09.20","","0,57%","2,44%","0,00%"
"27.09.20","","0,64%","3,90%","0,00%"
"28.09.20","","0,00%","1,58%","0,00%"
"29.09.20","","0,00%","0,48%","0,00%"
"30.09.20","","0,65%","1,05%","7,69%"
"01.10.20","","0,38%","2,83%","0,00%"
"02.10.20","","0,56%","1,31%","9,09%"
"03.10.20","","0,18%","0,53%","0,00%"
"04.10.20","","0,66%","2,53%","0,00%"
"05.10.20","","0,14%","4,94%","0,20%"
"06.10.20","","0,00%","4,03%","0,00%"
"07.10.20","","1,04%","4,35%","0,00%"
"08.10.20","","1,22%","0,87%","0,64%"
"09.10.20","","1,06%","2,12%","0,00%"
"10.10.20","","0,55%","3,98%","0,00%"
"11.10.20","","1,34%","4,89%","0,00%"
"12.10.20","","0,53%","1,41%","0,00%"
"13.10.20","","0,56%","3,10%","0,00%"
"14.10.20","","3,16%","2,27%","2,63%"
"15.10.20","","0,37%","2,63%","0,00%"
"16.10.20","","0,58%","2,61%","0,00%"
"17.10.20","","0,88%","4,12%","0,00%"
"18.10.20","","4,17%","4,19%","0,00%"
"19.10.20","","1,69%","0,97%","0,00%"
"20.10.20","","0,31%","1,84%","0,00%"
"21.10.20","","2,66%","0,93%","0,00%"
"22.10.20","","1,31%","0,51%","0,00%"
"23.10.20","","0,71%","2,71%","0,00%"
"24.10.20","","0,22%","6,78%","0,84%"
"25.10.20","","2,74%","4,30%","0,00%"
"26.10.20","","2,18%","4,85%","0,00%"
"27.10.20","","5,00%","3,08%","0,99%"
"28.10.20","","0,00%","4,57%","0,00%"
"29.10.20","","1,08%","4,35%","0,00%"
"30.10.20","","1,01%","3,02%","0,00%"
"31.10.20","","1,50%","0,59%","0,00%"
"01.11.20","","1,32%","0,00%","0,00%"
"02.11.20","","0,00%","2,14%","0,00%"
"03.11.20","","1,61%","0,52%","0,00%"
"04.11.20","","0,00%","1,55%","0,00%"
"05.11.20","","1,44%","1,72%","0,00%"
"06.11.20","","0,38%","3,00%","3,45%"
"07.11.20","","1,66%","1,28%","33,33%"
"08.11.20","","2,01%","3,41%","0,00%"
"09.11.20","","0,30%","1,32%","0,00%"
"10.11.20","","0,99%","7,14%","0,00%"
"11.11.20","","1,07%","8,97%","0,00%"
"12.11.20","","0,49%","0,00%","0,00%"
"13.11.20","","0,58%","2,14%","0,00%"
"14.11.20","","3,57%","0,00%","0,00%"
"15.11.20","","3,28%","6,38%","0,00%"
"16.11.20","","0,66%","0,81%","0,00%"
"17.11.20","","1,77%","0,76%","0,00%"
"18.11.20","","1,46%","0,00%","0,00%"
"19.11.20","","3,01%","11,76%","0,00%"
"20.11.20","","1,31%","7,87%","0,00%"
"21.11.20","","2,48%","12,50%","0,00%"
"22.11.20","","0,00%","0,00%","0,00%"
"23.11.20","","2,77%","10,00%","0,00%"
"24.11.20","","1,27%","0,00%","0,00%"
"25.11.20","","1,96%","8,33%","0,00%"
