"","Symptomatic tests","Border tests 1 and 2","Quarantine- and random tests","deCODE Genetics screening"
"01.04.21","0,52%","0,13%","0%","0%"
"02.04.21","0,86%","0,46%","0,43%","0%"
"03.04.21","0,22%","0,54%","1,45%","0%"
"04.04.21","0,66%","0,37%","0%","0%"
"05.04.21","0,59%","1,16%","0%","0%"
"06.04.21","0,48%","0,36%","1,38%","0%"
"07.04.21","0,27%","0,49%","0,54%","0%"
"08.04.21","0,30%","0,14%","0%","0%"
"09.04.21","0,15%","0,17%","0%",""
"10.04.21","0,59%","0,21%","0%",""
"11.04.21","0,26%","0,92%","0%",""
"12.04.21","0,25%","1,03%","0%","0%"
"13.04.21","0,13%","0,13%","0%","0%"
"14.04.21","0%","0,99%","0%","0%"
"15.04.21","0,64%","0,69%","0%","0%"
"16.04.21","0,38%","0,44%","0,00%","0%"
"17.04.21","3,28%","0,52%","0,00%","0%"
"18.04.21","1,63%","0,00%","3,68%","0%"
"19.04.21","0,62%","0,25%","0,0%","0%"
"20.04.21","0,39%","0,48%","0,33%","0%"
"21.04.21","0,94%","2,68%","0,52%","0%"
"22.04.21","0,71%","0,29%","4,44%","0%"
"23.04.21","0,86%","0,68%","0,77%","0%"
"24.04.21","1,21%","0,19%","1,12%","0%"
"25.04.21","0,93%","0,00%","0,00%","0%"
"26.04.21","0,68%","0,48%","2,75%","0%"
"27.04.21","0,51%","0%","0,35%","0%"
"28.04.21","0,58%","0,41%","0,53%","0%"
"29.04.21","0,36%","0%","0,35%","0%"
"30.04.21","0,10%","0,31%","0,38%","0%"
"01.05.21","0,68%","0,68%","0%","0%"
"02.05.21","0,19%","0%","1,24%","0%"
"03.05.21","0,55%","0,67%","0%","0%"
"04.05.21","0,28%","0,66%","2,08%",""
"05.05.21","0,25%","0%","0%","0%"
"06.05.21","0,60%","0,33%","0,26%","0%"
"07.05.21","0,75%","0,64%","0%","0%"
"08.05.21","0,43%","0,0%","0%","0%"
"09.05.21","0,56%","0,45%","0,51%","0%"
"10.05.21","0,30%","0,21%","0,00%","0%"
"11.05.21","0,32%","0,16%","0,00%","0%"
"12.05.21","0,36%","0,10%","0,85%","0%"
"13.05.21","0,42%","0,20%","0%","0%"
"14.05.21","0%","0,22%","0,25%","0%"
"15.05.21","1,34%","0,34%","0,26%","0%"
"16.05.21","0%","0,24%","0,46%","0%"
"17.05.21","0%","0,25%","0%","0%"
"18.05.21","0,29%","0%","0%","0%"
"19.05.21","0,14%","0,40%","0,58%","0%"
"20.05.21","0%","0,11%","0,00%","0%"
"21.05.21","0,00%","0,08%","0,00%","0%"
"22.05.21","0,00%","0,08%","0,00%","0%"
"23.05.21","0,00%","0,00%","0,00%","0%"
"24.05.21","0,20%","0,68%","0,00%","0%"
"25.05.21","0,47%","0,16%","0,18%","0%"
"26.05.21","0,38%","0,41%","0%","0%"
"27.05.21","0,62%","0,06%","0%","0%"
"28.05.21","0,29%","0,71%","0,08%","0%"
"29.05.21","0,99%","0,35%","0,23%","0%"
"30.05.21","0,00%","0,20%","0,00%","0%"
"31.05.21","0,43%","0,12%","0,10%","0%"
"01.06.21","0,26%","0,23%","0,14%","0%"
"02.06.21","0,16%","0,16%","0%","0%"
"03.06.21","1,16%","0,29%","0%","0%"
"04.06.21","0,17%","0,40%","0,13%","0%"
"05.06.21","0,35%","0,15%","0%","0%"
"06.06.21","0%","0,35%","0%","0%"
"07.06.21","0%","0,25%","0%","0%"
"08.06.21","0,76%","0,20%","0%","0%"
"09.06.21","0%","0,07%","0%","0%"
"10.06.21","0%","0,09%","0,08%","0%"
"11.06.21","0,00%","0,21%","0,00%","0%"
"12.06.21","0,68%","0,11%","0,00%","0%"
"13.06.21","0,00%","0,25%","0,28%","0%"
"14.06.21","0,00%","0,19%","0,00%","0,00%"
"15.06.21","0,32%","0,16%","0,22%","0%"
"16.06.21","0,00%","0,19%","0,00%","0%"
"17.06.21","0,00%","0,18%","0,00%","0%"
"18.06.21","0,00%","0,25%","0,00%","0,00%"
"19.06.21","0,00%","0,06%","0,00%","0,00%"
"20.06.21","0,00%","0,33%","0,00%","0,00%"
"21.06.21","0,00%","0,22%","0,00%","0,00%"
"22.06.21","0,00%","0,25%","0,00%","0,00%"
"23.06.21","0,00%","0,19%","0,00%","0,00%"
"24.06.21","0,00%","0,21%","0,00%","0,00%"
"25.06.21","0,56%","0,14%","0,00%","0,00%"
"26.06.21","0,00%","0,18%","0,60%","0,00%"
"27.06.21","0,00%","0,07%","0,00%","0,00%"
"28.06.21","0,00%","0,15%","0,00%","0,00%"
"29.06.21","0,00%","0,07%","0,00%","0,00%"
"30.06.21","0,82%","0,12%","0,00%","0,00%"
"01.07.21","0,00%","0,36%","0,00%","0,00%"
"02.07.21","0,00%","0,20%","0,00%","0,00%"
"03.07.21","0,00%","0,27%","0,00%","0,00%"
"04.07.21","0,00%","0,39%","0,00%","0,00%"
"05.07.21","0,76%","0,51%","0,00%","0,00%"
"06.07.21","0,00%","0,28%","0,00%","0,00%"
"07.07.21","0,35%","0,46%","0,00%","0,00%"
"08.07.21","0,61%","0,14%","0,00%","0,00%"
"09.07.21","0,00%","0,23%","0,00%","0,00%"
"10.07.21","1,12%","0,79%","0,00%","0,00%"
"11.07.21","0,00%","0,58%","0,00%","0,00%"
"12.07.21","0,58%","0,17%","0,00%","0,00%"
"13.07.21","0,88%","0,49%","0,00%","0,00%"
"14.07.21","1,42%","1,78%","0,00%","0,00%"
"15.07.21","0,64%","1,32%","0,14%","0%"
"16.07.21","0,87%","1,42%","0,45%","0%"
"17.07.21","2,27%","1,38%","0,00%","0%"
"18.07.21","1,25%","0,79%","0,62%","0%"
"19.07.21","2,47%","1,41%","0,86%","0,75%"
"20.07.21","3,10%","0,41%","0,82%","0%"
"21.07.21","3,01%","0%","0,95%","0%"
"22.07.21","2,71%","0,72%","0,86%","0%"
"23.07.21","3,03%","0,17%","0,66%","0%"
"24.07.21","4,58%","0,23%","0,55%","0%"
"25.07.21","3,89%","1,25%","0,00%","0%"
"26.07.21","3,73%","0,57%","1,02%","0%"
"27.07.21","2,45%","0,59%","0,95%","0%"
"28.07.21","3,26%","0,00%","1,12%","0%"
"29.07.21","3,77%","0,27%","0,62%","0%"
"30.07.21","4,22%","0,38%","2,84%","0%"
"31.07.21","4,66%","0,30%","1,95%","0%"
"01.08.21","3,90%","0,23%","1,10%","0%"
"02.08.21","4,99%","0,26%","1,92%","0%"
"03.08.21","4,27%","1,25%","1,16%","0%"
"04.08.21","3,84%","0,65%","1,26%","0%"
"05.08.21","3,41%","0,32%","1,06%","0%"
"06.08.21","3,84%","0,65%","0,47%","0%"
"07.08.21","4,26%","0,00%","0,91%","0%"
"08.08.21","4,21%","0,25%","2,00%","0%"
"09.08.21","5,64%","0,40%","2,15%","0,42%"
"10.08.21","3,04%","0,29%","1,81%","0%"
"11.08.21","4,83%","0,30%","1,07%","0%"
"12.08.21","4,47%","0,42%","1,91%","0%"
"13.08.21","3,36%","0,31%","2,12%","0%"
"14.08.21","4,02%","0%","0,85%","0%"
"15.08.21","3,13%","0,59%","1,12%","0%"
"16.08.21","4,09%","0,32%","1,65%","0%"
"17.08.21","4,82%","0,10%","1,29%","0%"
"18.08.21","3,33%","0,09%","2,98%","0%"
"19.08.21","1,41%","0,22%","3,23%","0%"
"20.08.21","3,40%","0,75%","1,63%","9,1%"
"21.08.21","3,61%","0,24%","1,45%","0"
"22.08.21","4,39%","0,71%","0,96%","0%"
"23.08.21","2,83%","0,83%","0,54%","0%"
"24.08.21","3,45%","0,37%","1,28%","0%"
"25.08.21","4,85%","0,37%","0,91%","0%"
"26.08.21","3,34%","0,50%","0,14%","0%"
"27.08.21","3,24%","0,47%","2,89%","0%"
"28.08.21","3,52%","0,86%","1,55%","0%"
"29.08.21","2,70%","0,29%","1,95%","0%"
"30.08.21","2,55%","0,34%","1,18%","0%"
"31.08.21","2,41%","0%","0,85%","0%"
"01.09.21","2,19%","0,37%","1,06%","0%"
"02.09.21","1,96%","0,39%","0%","0%"
"03.09.21","2,49%","0,23%","1,35%","0%"
"04.09.21","1,97%","0,28%","0,66%","0%"
"05.09.21","2,25%","0,21%","0,89%","0%"
"06.09.21","0,77%","0,08%","1,32%","0%"
"07.09.21","2,08%","0,39%","0,52%","0%"
"08.09.21","2,68%","0,18%","0,66%","0%"
"09.09.21","1,77%","0,19%","0,16%","0%"
"10.09.21","2,51%","0,52%","0,99%","0%"
"11.09.21","1,37%","0,21%","1,97%","0%"
"12.09.21","3,44%","0,45%","0,59%","0%"
"13.09.21","1,55%","0,24%","1,60%","0%"
"14.09.21","1,51%","0%","1,57%","0%"
"15.09.21","2,69%","0,24%","1,02%","0%"
"16.09.21","1,77%","0,11%","0,36%","0%"
"17.09.21","2,28%","0,11%","0,32%","0%"
"18.09.21","3,75%","0,14%","0,42%","0%"
"19.09.21","4,27%","0,08%","0,87%","0%"
"20.09.21","3,61%","0,22%","0,89%","0%"
"21.09.21","3,39%","0,28%","0,53%","0%"
"22.09.21","2,53%","0,00%","0,87%","0%"
"23.09.21","2,29%","0,68%","2,15%","0%"
"24.09.21","3,86%","0,16%","1,07%","0%"
"25.09.21","4,72%","0,31%","0,38%","0%"
"26.09.21","2,35%","0,00%","3,10%","0%"
"27.09.21","2,58%","0,20%","0,49%","0%"
"28.09.21","1,74%","0%","0,96%","0%"
"29.09.21","1,39%","0,34%","0%","0%"
"30.09.21","3,97%","0%","0,4%","0%"
"01.10.21","6,32%","0,00%","1,37%","0%"
"02.10.21","4,32%","0,34%","0,27%","0%"
"03.10.21","3,66%","0,23%","0,95%","0%"
"04.10.21","2,32%","0,24%","0,92%","0%"
"05.10.21","2,46%","0,33%","2,13%","0%"
"06.10.21","3,12%","0,12%","3,17%","0%"
"07.10.21","3,87%","0,20%","1,36%","0%"
"08.10.21","2,69%","0,56%","3,06%","0%"
"09.10.21","6,13%","0,09%","2,53%","0%"
"10.10.21","5,91%","0,09%","0,00%","0%"
"11.10.21","2,03%","0,52%","1,12%","0%"
"12.10.21","5,19%","0,32%","1.13%","0%"
"13.10.21","4,78%","0,76%","0,51%","0%"
"14.10.21","5,90%","0,35%","2,76%","0%"
"15.10.21","7,24%","0,35%","1,26%","0%"
"16.10.21","10,38%","0,40%","1,67%","0%"
"17.10.21","6,34%","0,44%","1,69%","0%"
"18.10.21","4,51%","0,35%","3,05%","0%"
"19.10.21","5,38%","0,65%","1,52%","0%"
"20.10.21","4,17%","0,65%","0,81%","0%"
"21.10.21","6,04%","0,73%","1,29%","0%"
"22.10.21","8,18%","0,29%","1,51%","0%"
"23.10.21","7,21%","1,14%","2,52%","0%"
"24.10.21","9,72%","1,40%","2,03%","0%"
"25.10.21","7,63%","1,68%","0,14%","0%"
"26.10.21","5,27%","0,39%","1,26%","0%"
"27.10.21","5,40%","0,29%","1,21%","0%"
"28.10.21","4,71%","0,27%","1,73%","0%"
"29.10.21","6,60%","0,83%","1,63%","0%"
"30.10.21","5,49%","0,55%","2,51%","0%"
"31.10.21","9,55%","0,42%","2,99%","0%"
"01.11.21","4,26%","0,46%","1,8%","0%"
"02.11.21","4,72%","0,24%","2,71%","0%"
"03.11.21","7,1%","1,0%","3,29%","0%"
"04.11.21","7,63%","1,27%","3,75%","0%"
"05.11.21","3,69%","0,34%","1,97%","0%"
"06.11.21","5,21%","0,21%","2,11%","0%"
"07.11.21","7,80%","0,41%","2,89%","0%"
"08.11.21","5,88%","1,05%","3,04%","0%"
"09.11.21","5,48%","1,13%","4,21%","0%"
"10.11.21","7,29%","0,77%","3,63%","0%"
"11.11.21","6,76%","1,11%","2,98%","0%"
"12.11.21","5,23%","0,36%","2,45%","0%"
"13.11.21","8,19%","0,43%","2,76%","0%"
"14.11.21","9,40%","0,55%","3,58%","0%"
"15.11.21","8,29%","0,73%","4,01%","0%"
"16.11.21","4,77%","0,68%","3,08%","0%"
"17.11.21","4,64%","0,81%","3,37%","0%"
"18.11.21","8,00%","1,29%","3,61%","0%"
"19.11.21","6,50%","0,57%","3,66%","0%"
"20.11.21","8,85%","1,22%","3,99%","0%"
"21.11.21","6,60%","0,73%","5,01%","0%"
"22.11.21","6,89%","0,47%","5,22%","0%"
"23.11.21","7,40%","0,25%","2,84%","0%"
"24.11.21","6,69%","0,77%","2,44%","0%"
"25.11.21","8,43%","0,50%","4,09%","0%"
"26.11.21","7,66%","1,21%","5,39%","0%"
"27.11.21","7,98%","0,96%","2,39%","0%"
"28.11.21","7,96%","1,13%","3,49%","0%"
"29.11.21","7,02%","0,18%","1,88%","0%"
"30.11.21","8,02%","1,30%","3,85%","0%"
"01.12.21","7,33%","0,82%","4,54%","0%"
"02.12.21","8,08%","1,0%","3,13%","0%"
"03.12.21","5,87%","0,23%","4,55%","0%"
"04.12.21","5,58%","1,43%","4,04%","0%"
"05.12.21","8,09%","1,39%","5,50%","0%"
"06.12.21","5,33%","0,49%","2,25%","0%"
"07.12.21","5,25%","0,62%","3,95%","0%"
"08.12.21","7,22%","0,66%","3,65%","0%"
"09.12.21","4,39%","0,54%","3,42%","0%"
"10.12.21","8,81%","0,43%","3,88%","0%"
"11.12.21","8,23%","1,61%","3,02%","0%"
"12.12.21","10,48%","0,52%","3,51%","0%"
"13.12.21","7,70%","1,33%","1,78%","0,36%"
"14.12.21","6,62%","1,55%","3,07%","0%"
"15.12.21","8,15%","1,17%","3,46%","0%"
"16.12.21","8,37%","1,64%","3,20%","0%"
"17.12.21","10,93%","1,55%","3,43%","0%"
"18.12.21","13,73%","0,78%","3,38%","0%"
"19.12.21","11,22%","1,33%","6,24%","0%"
"20.12.21","10,94%","1,77%","4,04%","1,07%"
"21.12.21","11,57%","2,88%","4,63%","0%"
"22.12.21","13,27%","2,78%","6,37%","0%"
"23.12.21","16,39%","3,03%","7,36%","0%"
"24.12.21","17,95%","2,11%","5,66%","0%"
"25.12.21","25,06%","2,55%","5,97%","0%"
"26.12.21","26,29%","3,19%","7,33%","0%"
"27.12.21","20,93%","5,35%","8,94%","0%"
"28.12.21","20,30%","4,87%","7,48%","0%"
"29.12.21","19,33%","7,24%","6,60%","0%"
"30.12.21","19,90%","6,19%","9,08%","0%"
"31.12.21","19,22%","5,51%","9,77%","10,00%"
