"","Symptomatic tests","Border tests 1 and 2","Quarantine- and random tests","deCODE Genetics screening"
"01.01.21","0,00%","0,00%","0,00%","0%"
"02.01.21","0,24%","0,98%","1,64%","0%"
"03.01.21","0,76%","1,28%","25,00%","0%"
"04.01.21","0,39%","1,02%","2,78%","0%"
"05.01.21","0,64%","2,28%","0,00%","0%"
"06.01.21","1,54%","2,10%","14,29%","0%"
"07.01.21","0,15%","1,23%","25,00%","0%"
"08.01.21","0,76%","0,81%","17,24%","0%"
"09.01.21","0,48%","1,19%","16,67%","0%"
"10.01.21","0,28%","1,60%","1,11%","0%"
"11.01.21","0,13%","1,81%","1,56%","0%"
"12.01.21","0,59%","2,91%","1,92%","0%"
"13.01.21","0,47%","1,00%","0,00%","0%"
"14.01.21","0,60%","0,99%","0,00%","0%"
"15.01.21","0,00%","1,07%","0,00%","0%"
"16.01.21","0,00%","1,77%","4,76%","0%"
"17.01.21","0,74%","1,16%","5,26%","0%"
"18.01.21","0,28%","1,50%","0,00%","0%"
"19.01.21","0,15%","2,25%","5,88%","0%"
"20.01.21","0,34%","1,39%","4,65%","0%"
"21.01.21","0,00%","0,90%","0,00%","0%"
"22.01.21","0,20%","0,27%","0,00%","0%"
"23.01.21","0,26%","0,93%","0,00%","0%"
"24.01.21","0,00%","0,47%","1,59%","0%"
"25.01.21","0,10%","0,45%","1,08%","0%"
"26.01.21","0,28%","2,21%","20,00%","0%"
"27.01.21","0,11%","0,00%","5,88%","0%"
"28.01.21","0,00%","0,77%","0,00%","0%"
"29.01.21","0,14%","0,58%","0,00%","0%"
"30.01.21","0,00%","1,64%","0,00%","0%"
"31.01.21","0,00%","2,35%","0,00%","0%"
"01.02.21","0,10%","0,40%","0%","0%"
"02.02.21","0%","3,0%","0%","0%"
"03.02.21","0%","0,5%","0%","0%"
"04.02.21","0%","1,07%","0%","0%"
"05.02.21","0%","0,28%","0%","0%"
"06.02.21","0,29%","0,73%","0%","0%"
"07.02.21","0,32%","0,73%","0%","0%"
"08.02.21","0,13%","1,19%","0%","0%"
"09.02.21","0%","0,3%","0%","0%"
"10.02.21","0%","0%","0%","0%"
"11.02.21","0,71%","1,6%","0%","0%"
"12.02.21","0%","0,31%","0%","0%"
"13.02.21","0%","0,52%","0%","0%"
"14.02.21","0%","1,23%","0%","0%"
"15.02.21","0%","1,1%","0%","0%"
"16.02.21","0%","1,7%","0%","0%"
"17.02.21","0%","1,4%","0%","0%"
"18.02.21","0%","0%","10%","0%"
"19.02.21","0%","0,43%","0%","0%"
"20.02.21","0%","0,49%","33,33%","0%"
"21.02.21","0%","0,25%","0%","0%"
"22.02.21","0%","0%","0%","0%"
"23.02.21","0%","0%","0%","0%"
"24.02.21","0%","0,66%","0%","0%"
"25.02.21","0%","0,24%","0%","0%"
"26.02.21","0,2%","0,44%","0%","0%"
"27.02.21","0,0%","0,79%","0%","0%"
"28.02.21","0%","0,50%","0%","0%"
"01.03.21","0,0%","0,73%","0%","0%"
"02.03.21","0%","1,39%","0%","0%"
"03.03.21","0%","0%","0%","0%"
"04.03.21","0%","0,41%","0%","0%"
"05.03.21","0,26%","0,31%","0%","0%"
"06.03.21","0,76%","0,56%","0%","0%"
"07.03.21","0%","0,57%","0%","0%"
"08.03.21","0,13%","0,28%","0%","0%"
"09.03.21","0%","0,66%","0%","0%"
"10.03.21","0,10%","0%","0%","0%"
"11.03.21","0%","0,56%","0%","0%"
"12.03.21","0%","0,75%","0%","0%"
"13.03.21","0%","1,08%","0%","0%"
"14.03.21","0,27%","0,52%","0%","0%"
"15.03.21","0%","2,34%","3,23%","0%"
"16.03.21","0%","1,06%","0%","0%"
"17.03.21","0,2%","0,29%","0%","0%"
"18.03.21","0%","1,04%","0%","0%"
"19.03.21","0,15%","0,28%","0%","0%"
"20.03.21","0,23%","2,07%","0%","0%"
"21.03.21","1,12%","2,39%","1,67%","0%"
"22.03.21","0,08%","0,21%","0,0%","0%"
"23.03.21","0,14%","0,78%","9,93%","0%"
"24.03.21","0,51%","4,48%","0,0%","0%"
"25.03.21","0,11%","0,0%","1,02%","0%"
"26.03.21","0,08%","0,42%","0,36%","0%"
"27.03.21","0,65%","0,18%","0,00%","0%"
"28.03.21","0,41%","0,29%","0,41%","0%"
"29.03.21","0,60%","1,62%","0%","0%"
"30.03.21","0,61%","0,54%","0,22%","0%"
"31.03.21","0,58%","0,46%","0%","0%"
